"accuracies","n_authors","n_samples","FE_algorithm","n_gram","doc_len"
"0.8","10","10","POS n-gram","2","1-46"
"0.86","10","20","POS n-gram","2","1-46"
"0.8600000000000001","10","30","POS n-gram","2","1-46"
"0.8899999999999999","10","50","POS n-gram","2","1-46"
"0.9189999999999999","10","100","POS n-gram","2","1-46"
"0.9295","10","200","POS n-gram","2","1-46"
"0.9380000000000001","10","300","POS n-gram","2","1-46"
"0.9465999999999999","10","500","POS n-gram","2","1-46"
"0.7","11","10","POS n-gram","2","1-46"
"0.8045454545454545","11","20","POS n-gram","2","1-46"
"0.8303030303030303","11","30","POS n-gram","2","1-46"
"0.8236363636363636","11","50","POS n-gram","2","1-46"
"0.8654545454545455","11","100","POS n-gram","2","1-46"
"0.8936363636363638","11","200","POS n-gram","2","1-46"
"0.9084848484848485","11","300","POS n-gram","2","1-46"
"0.9274545454545455","11","500","POS n-gram","2","1-46"
"0.7416666666666667","12","10","POS n-gram","2","1-46"
"0.7666666666666667","12","20","POS n-gram","2","1-46"
"0.8138888888888889","12","30","POS n-gram","2","1-46"
"0.8383333333333333","12","50","POS n-gram","2","1-46"
"0.8724999999999999","12","100","POS n-gram","2","1-46"
"0.8891666666666665","12","200","POS n-gram","2","1-46"
"0.9094444444444443","12","300","POS n-gram","2","1-46"
"0.9293333333333333","12","500","POS n-gram","2","1-46"
"0.6923076923076923","13","10","POS n-gram","2","1-46"
"0.7615384615384615","13","20","POS n-gram","2","1-46"
"0.776923076923077","13","30","POS n-gram","2","1-46"
"0.8000000000000002","13","50","POS n-gram","2","1-46"
"0.8376923076923077","13","100","POS n-gram","2","1-46"
"0.8834615384615384","13","200","POS n-gram","2","1-46"
"0.8948717948717949","13","300","POS n-gram","2","1-46"
"0.9092307692307694","13","500","POS n-gram","2","1-46"
"0.6285714285714286","14","10","POS n-gram","2","1-46"
"0.6642857142857144","14","20","POS n-gram","2","1-46"
"0.7238095238095238","14","30","POS n-gram","2","1-46"
"0.7542857142857142","14","50","POS n-gram","2","1-46"
"0.795","14","100","POS n-gram","2","1-46"
"0.8414285714285714","14","200","POS n-gram","2","1-46"
"0.8697619047619047","14","300","POS n-gram","2","1-46"
"0.8865714285714287","14","500","POS n-gram","2","1-46"
"0.6266666666666667","15","10","POS n-gram","2","1-46"
"0.7","15","20","POS n-gram","2","1-46"
"0.6844444444444445","15","30","POS n-gram","2","1-46"
"0.7306666666666667","15","50","POS n-gram","2","1-46"
"0.7799999999999999","15","100","POS n-gram","2","1-46"
"0.8190000000000002","15","200","POS n-gram","2","1-46"
"0.8351111111111111","15","300","POS n-gram","2","1-46"
"0.8497333333333333","15","500","POS n-gram","2","1-46"
"0.5625","16","10","POS n-gram","2","1-46"
